,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes,rating,department
0,AAO2354-001,AAO2354,1,지역사회연계봉사-JEP,전체,1.0,교양선택,"토23,24",임지영,Pass/Fail,교양선택,,기타-일반교양
1,AAO2354-002,AAO2354,2,지역사회연계봉사-JEP,전체,1.0,교양선택,"토23,24",이은진,Pass/Fail,교양선택,,기타-일반교양
2,AAO3004-001,AAO3004,1,지역사회연계봉사-JEP 3,전체,1.0,교양선택,"토23,24",이은진,Pass/Fail,교양선택 시간표체크안함,,기타-일반교양
3,AAO3033-002,AAO3033,2,안보학,3,3.0,일반선택,"화22,23,24,목22,23,24(학군단)",학군단2,절대평가, ,,기타-비사대교직
4,AAO3037-001,AAO3037,1,국가안보의 이해,전체,3.0,일반선택,"월1,2,3,4,5,6(60주년-508)",김정필,절대평가, ,,기타-비사대교직
5,AAO3038-001,AAO3038,1,전쟁과 무기체계,전체,3.0,일반선택,"월13,14,15,16,17,18(60주년-609)",김정필,절대평가, ,,기타-비사대교직
6,AAO3043-002,AAO3043,2,조직리더십,4,3.0,일반선택,"화22,23,24,목22,23,24(학군단)",학군단2,절대평가, ,,기타-비사대교직
7,AAO4010-001,AAO4010,1,NCS직업기초능력,4,2.0,일반선택,"수19,20,21,22(6-427)",황사연,Pass/Fail,일학습병행 NCS 참여학생 수강,,기타-NCS과목
8,AAO6514-001,AAO6514,1,SQL 활용 프로그래밍(NCS과정),4,3.0,일반선택,"목13,14,15,16,17,18(5남240)",임상준,절대평가,일학습병행 NCS 참여학생 수강,,기타-NCS과목
1531,GED1002-001,GED1002,1,공학윤리와 토론,2,3.0,교양선택,"수1,2,3,4,5,6(60주년-612)",이양수,상대평가,공학인증필(18학번~),,기타-인하공학교육혁신센터
1532,GED1002-002,GED1002,2,공학윤리와 토론,2,3.0,교양선택,"수13,14,15,16,17,18(5남333)",이양수,상대평가,인하공학교육혁신센터,,기타-핵심교양
1533,GED1002-003,GED1002,3,공학윤리와 토론,2,3.0,교양선택,"화1,2,3,4,5,6(5동208A)",정현철,상대평가,공학인증필(18학번~),,기타-인하공학교육혁신센터
1534,GED1002-004,GED1002,4,공학윤리와 토론,2,3.0,교양선택,"화13,14,15,16,17,18(60주년-509)",정현철,상대평가,공학인증필(18학번~),,기타-인하공학교육혁신센터
1535,GED1002-005,GED1002,5,공학윤리와 토론,2,3.0,교양선택,"목1,2,3,4,5,6(서-328)",정현철,상대평가,공학인증필(18학번~),,기타-핵심교양
1536,GED1002-006,GED1002,6,공학윤리와 토론,2,3.0,교양선택,"금4,5,6,7,8,9(60주년-510)",이혁주,상대평가,공학인증필(18학번~),,기타-핵심교양
1537,GED1002-007,GED1002,7,공학윤리와 토론,2,3.0,교양선택,"금13,14,15,16,17,18(60주년-510)",이혁주,상대평가,공학인증필(18학번~),,기타-핵심교양
1538,GED1002-008,GED1002,8,공학윤리와 토론,2,3.0,교양선택,"월1,2,3,4,5,6(60주년-509)",우환식,상대평가,공학인증필(18학번~),,기타-인하공학교육혁신센터
1539,GED1002-010,GED1002,10,공학윤리와 토론,2,3.0,교양선택,"금10,11,12,13,14,15(60주년-509)",이양수,상대평가,공학인증필(18학번~),,기타-핵심교양
1540,GED1002-011,GED1002,11,공학윤리와 토론,2,3.0,교양선택,"금1,2,3,4,5,6(60주년-509)",이양수,상대평가,"공학인증필(18학번~), 국제학부/외국인학생 전용, 영어,English",,기타-원어강의
1541,GED1003-001,GED1003,1,나눔 프로젝트,전체,3.0,교양선택,"수13,14,15,16,17,18(60주년-511)",연석정,상대평가,프런티어학부대학,,기타-핵심교양
1542,GED1004-001,GED1004,1,가치창조를 위한 명저 읽기,전체,3.0,교양선택,"화10,11,12,목10,11,12(60주년-607)",윤인현,상대평가,프런티어학부대학,,기타-핵심교양
1543,GED1007-001,GED1007,1,"독서세미나 : 인간, 가치, 공존",전체,3.0,교양선택,"수10,11,12,목10,11,12(60주년-502)",테리로즈,절대평가,English,,기타-핵심교양
1544,GED1007-002,GED1007,2,"독서세미나 : 인간, 가치, 공존",전체,3.0,교양선택,"월4,5,6,수10,11,12(60주년-602)",김명임,상대평가,프런티어학부대학,,기타-핵심교양
1545,GED1007-003,GED1007,3,"독서세미나 : 인간, 가치, 공존",1,3.0,교양선택,"수16,17,18,19,20,21(M-322)",미셸권,Pass/Fail,English,,기타-핵심교양
1546,GED1007-004,GED1007,4,"독서세미나 : 인간, 가치, 공존",1,3.0,교양선택,"목16,17,18,19,20,21(M-322)",미셸권,Pass/Fail,English,,기타-원어강의
1547,GED1009-001,GED1009,1,마음을 움직이는 리더십,전체,3.0,교양선택,셀12(웹강의),김성건,상대평가,※기말 : 6월 23일 15:00 ~ 15:55,4.55,기타-E-Learning
1548,GED1010-001,GED1010,1,오래된 미래: 동양고전에서의 인간다움,전체,3.0,교양선택,셀8(웹강의),윤인현,상대평가,※기말 : 6월 23일 10:00 ~ 10:55,4.51,기타-핵심교양
1549,GED1011-001,GED1011,1,SF와 인간의 미래,전체,3.0,교양선택,"월13,14,15,목13,14,15(5남535)",이수진,상대평가,프런티어학부대학,,기타-핵심교양
1550,GED1013-001,GED1013,1,현대 사회의 가치관,전체,3.0,교양선택,"수13,14,15,16,17,18(9-403)",김영민,상대평가,행정학,,기타-핵심교양
