,course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
4,AAO3037-001,AAO3037,1,국가안보의 이해,전체,3.0,일반선택,[126   0   0   0   0   0   0],김정필,절대평가, 
39,ACE2101-009,ACE2101,9,공업수학 1,2,3.0,교양필수,[14  0 14  0  0  0  0],허윤석,상대평가,선수
50,ACE2101-020,ACE2101,20,공업수학 1,2,3.0,교양필수,[910   0 910   0   0   0   0],이은경,상대평가,선수
51,ACE2101-021,ACE2101,21,공업수학 1,2,3.0,교양필수,[126   0 126   0   0   0   0],이은경,상대평가,선수
58,ACE2102-002,ACE2102,2,공업수학 2,2,3.0,교양필수,[126   0 126   0   0   0   0],연룡하,절대평가,Chinese
67,ACE2105-001,ACE2105,1,선형대수,2,3.0,교양필수,[14 14  0  0  0  0  0],원종훈,상대평가, 
88,AIE2001-001,AIE2001,1,자료구조,2,4.0,전공필수,[14  0 14  0 30  0  0],김병형,절대평가, 
89,AIE2001-002,AIE2001,2,자료구조,2,4.0,전공필수,[  14    0   14    0 7680    0    0],김병형,절대평가, 
112,APL2105-001,APL2105,1,Business English 1,전체,3.0,전공필수,[14  0 14  0  0  0  0],제임스패턴,상대평가,English
171,ARE2203-001,ARE2203,1,건축환경-열환경,2,3.0,전공선택,[126   0 126   0   0   0   0],조재훈,상대평가,선수
196,ASE2055-001,ASE2055,1,열역학,2,3.0,전공필수,[229390      0 229390      0      0      0      0],노태성,상대평가, 
197,ASE2055-002,ASE2055,2,열역학,2,3.0,전공필수,[229390      0 229390      0      0      0      0],노태성,상대평가, 
218,BIO1001-002,BIO1001,2,생명과학개론,1,3.0,교양필수,[126   0   0   0   0   0   0],안동하,상대평가, 
220,BIO1101-001,BIO1101,1,생명과학 1,1,3.0,교양필수,[910   0 910   0   0   0   0],손세진,상대평가, 
232,BIO2109-001,BIO2109,1,동물생리학,2,3.0,전공필수,[126   0   0 126   0   0   0],이창중,상대평가, 
281,BTE3101-002,BTE3101,2,생물화학공학,3,3.0,전공필수,[7182 7182    0    0    0    0    0],백영빈,절대평가,"영어,English,선수"
297,BUS2101-002,BUS2101,2,재무관리,전체,3.0,전공필수,[910 910   0   0   0   0   0],손규현,상대평가, 
304,BUS2201-005,BUS2201,5,조직행동,전체,3.0,전공필수,[126   0   0   0   0   0   0],민정원,절대평가,"영어,English"
313,BUS2401-002,BUS2401,2,오퍼레이션스 매니지먼트,전체,3.0,전공필수,[126   0   0   0   0   0   0],김연성,상대평가, 
336,BUS3008-001,BUS3008,1,Preparing for the Global Job Market,전체,3.0,전공선택,[14  0 14  0  0  0  0],마이클쿡,절대평가,English
338,BUS3101-001,BUS3101,1,투자론,전체,3.0,전공선택,[126   0 126   0   0   0   0],한재준,상대평가, 
345,BUS3301-001,BUS3301,1,중급회계 1,전체,3.0,전공선택,[14  0 14  0  0  0  0],조형진,상대평가, 
387,CBA1102-005,CBA1102,5,경영학원론,전체,3.0,교양필수,[120   0   0   0   0   0   1],박승욱,절대평가, 
393,CBA1102-011,CBA1102,11,경영학원론,1,3.0,교양필수,[14  0 14  0  0  0  0],배경미,상대평가,"영어,English"
398,CBA1104-001,CBA1104,1,통계학,전체,3.0,교양필수,[14  0 14  0  0  0  0],조정래,상대평가, 
