course_class_id,course_id,class_id,course_name,grade,credits,course_classification,time_classroom,professor,assessment_method,notes
POL1001-001,POL1001,001,국제정치학개론,전체,3.0,전공필수,"수10,11,12,목10,11,12(9-412)",정재환,상대평가, 
POL1202-001,POL1202,001,비교정치의 이해,전체,3.0,전공필수,"금10,11,12,13,14,15(6-520)",김현진,상대평가, 
POL2121-001,POL2121,001,정당과 선거,전체,3.0,전공선택,"금13,14,15,16,17,18(9-412)",이시성,상대평가, 
POL2134-001,POL2134,001,여론과 선전,전체,3.0,전공선택,"목13,14,15,16,17,18(9-414)",윤상진,상대평가, 
POL2146-001,POL2146,001,현대정치사상,전체,3.0,전공선택,"금1,2,3,4,5,6(9-414)",박상희,상대평가, 
POL2147-001,POL2147,001,근세한국의 정치사상,전체,3.0,전공선택,"월13,14,15,16,17,18(9-412)",김정호,상대평가, 
POL2236-001,POL2236,001,고중세 서양정치사상,전체,3.0,전공선택,"금10,11,12,13,14,15(9-414)",박상희,상대평가, 
POL3114-001,POL3114,001,중국의 정치와 사상,전체,3.0,전공선택,"수13,14,15,16,17,18(9-412)",김정호,상대평가, 
POL3127-001,POL3127,001,미국정치,전체,3.0,전공선택,"월4,5,6,화4,5,6(9-412)",최준영,상대평가, 
POL3136-001,POL3136,001,현대국제정치이론,전체,3.0,전공선택,"수4,5,6,목4,5,6(9-412)",정재환,상대평가, 
POL3137-001,POL3137,001,외교실무의 이해,전체,3.0,전공선택,"화10,11,12,13,14,15(9-414)",이정관,상대평가, 
POL3139-001,POL3139,001,데이터사이언스로서의 정치학 입문,전체,3.0,전공선택,"화4,5,6,7,8,9(9-319)",김유진,상대평가, 
POL3141-001,POL3141,001,러시아동구정치론,전체,3.0,전공선택,"수16,17,18,목16,17,18(6-520)",성동기,상대평가, 
POL3144-001,POL3144,001,일본의 정치와 외교,전체,3.0,전공선택,"화13,14,15,16,17,18(6-426)",이명찬,상대평가, 
POL4117-001,POL4117,001,근대 한국의 정치와 외교,전체,3.0,전공선택,"월7,8,9,수7,8,9(9-602)",김정호,상대평가, 
POL4125-001,POL4125,001,유럽정치,전체,3.0,전공선택,"화4,5,6(6-425) /목4,5,6(6-426)",조경희,상대평가, 
POL4129-001,POL4129,001,미국외교정책론,전체,3.0,전공선택,"수13,14,15,16,17,18(9-414)",이우태,상대평가, 
POL4147-001,POL4147,001,중국의 정치와 외교,전체,3.0,전공선택,"목13,14,15,16,17,18(9-412)",장영덕,상대평가, 
POL4247-001,POL4247,001,동아시아 공공외교사,전체,3.0,전공선택,"월13,14,15,16,17,18(9-414)",박경민,상대평가, 
POL4248-001,POL4248,001,공공외교의 이해,전체,3.0,전공선택,"화10,11,12,수10,11,12(6-426)",이진영,상대평가, 
POL4251-001,POL4251,001,정체성의 정치와 세계시민교육,전체,3.0,전공선택,"화4,5,6,수4,5,6(9-414)",이진영,상대평가, 
SOS1102-001,SOS1102,001,정치학개론,전체,3.0,교양필수,"월10,11,12,화10,11,12(9-412)",최준영,상대평가, 
SOS1102-002,SOS1102,002,정치학개론,전체,3.0,교양필수,"월10,11,12,목10,11,12(9-414)",정영태,상대평가, 
POL4139-001,POL4139,001,정치학연습 1,4,3.0,전공선택,"화13,14,15,16,17,18(9-412)",남창희,Pass/Fail, 
